"Catalog Code","Name","Color"
"TODO","Black","0x000000"
"TODO","Blue","0x0000ff"
"TODO","Light Green","0x00ff00"
"TODO","Red","0xff0000"
"TODO","Purple","0xff00ff"
"TODO","Yellow","0xffff00"
"TODO","Gray","0x7f7f7f"
"TODO","Light Blue","0x339aff"
"TODO","Green","0x33cc66"
"TODO","Orange","0xff7f00"
"TODO","Pink","0xffa0b4"
"TODO","Brown","0x994b00"
"TODO","White","0xffffff"
"TODO","Dark Blue","0x00007f"
"TODO","Dark Green","0x007f00"
"TODO","Dark Red","0x7f0000"
"TODO","Light Red","0xff7f7f"
"TODO","Dark Purple","0x7f007f"
"TODO","Light Purple","0xff7fff"
"TODO","Dark Yellow","0xc8c800"
"TODO","Light Yellow","0xffff99"
"TODO","Dark Gray","0x3c3c3c"
"TODO","Light Gray","0xc0c0c0"
"TODO","Dark Orange","0xe83f00"
"TODO","Light Orange","0xffa541"
"TODO","Dark Pink","0xff667a"
"TODO","Light Pink","0xffcccc"
"TODO","Dark Brown","0x732800"
"TODO","Light Brown","0xaf5a0a"
